GENERICO NOME;LUVAS DE LÁTEX- CERÚGICAS;7.5 POLEGADAS;50 PARES
GENERICO NOME;LUVAS DE LÁTEX- DESCARTÁVEL;GRANDE;100 PEÇAS
GENERICO NOME;LUVAS DE LÁTEX- DESCARTÁVEL;MÉDIO;100 PEÇAS
GENERICO NOME;LUVAS DE LÁTEX- DESCARTÁVEL;PEQUENO;100 PEÇAS
GENERICO NOME;MÁSCARA DE OXIGÊNIO;MÉDIO;1 PEÇA
GENERICO NOME;MÁSCARA DE OXIGÊNIO COM NEBULIZADOR;ADULTO;1 PEÇA
GENERICO NOME;MÁSCARA DE OXIGÊNIO COM NEBULIZADOR;PEDIATRICO;1 PEÇA
GENERICO NOME;MASCARA FACIAL ;NONWOVEN;50 PEÇAS
OCULOS;OCULOS DE PROTEÇAO;NA;1 PEÇA
GENERICO NOME;RECIPIENTE DE FEZES;60 ML;1 PEÇA
GENERICO NOME;RECIPIENTE DE URINA;60 ML;1 PEÇA
GENERICO NOME;RECIPIENTE DE URINA (ESTÉRIL);60 ML;1 PEÇA
GENERICO NOME;ROLO DE GAZE;90 CM X 100;100 YARDS
GENERICO NOME;SACO DE COLOSTOMIA;60 mm;1 PEÇA
GENERICO NOME;SACO DA URINA (PEDIATRICO) ;100 ML;1 PEÇA
UNIJECT 1.ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;1ML;100 PEÇAS
UNIJECT 2.ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;2ML;100 PEÇAS
UNIJECT 5.ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;5ML;100 PEÇAS
UNIJECT 10ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;10ML;100 PEÇAS
UNIJECT 20ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;20ML;50 PEÇAS
UNIJECT 50ML;SERINGA DESCARTAVÉL COM AGULHAS 21G X 1 1/2;50ML;25 PEÇAS
UNIJECT 1.ML+ 29G;SERINGA INSULINA COM  AGULHAS 29G X 1 1/2;1ML/29G;100 PEÇAS
GENERICO NOME;SISTEMA DE SANGUE;SISTEMA;25 PEÇAS
GENERICO NOME;SONDA DE ALIMENTAÇÃO;FR 5;1 PEÇA
GENERICO NOME;SONDA DE ALIMENTAÇÃO;FR 6;1 PEÇA
GENERICO NOME;SONDA DE ALIMENTAÇÃO;FR 8;1 PEÇA
GENERICO NOME;SONDA DE ALIMENTAÇÃO;FR 10;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 8;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 10;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 12;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 14;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 16;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 18;1 PEÇA
GENERICO NOME;SONDA DE ASPIRAÇÃO (CATÉTER DE ASPIRAÇÃO);FR 20;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 8;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 10;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 12;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 14;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 16;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 18;1 PEÇA
GENERICO NOME;SONDA DE NELATON (CATÉTER DE NELATON);FR 20;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 6;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 8;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 10;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 12;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 16;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 18;1 PEÇA
GENERICO NOME;SONDA NESOGASTICA (TUBO DE ESTÔMAGO);FR 20;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 20;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 22;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 24;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 26;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 28;1 PEÇA
GENERICO NOME;SONDA RECTAL (TUBO RECTAL);FR 30;1 PEÇA
GENERICO NOME;SUPORTE DE INFUSÃO;NA;1 PEÇA
GENERICO NOME;TERMÔMETRO DIGITAL;NA;1 PEÇA
GENERICO NOME;TESTA INFRAVERMELHA TERMÔMETRO (SEM CONTATO);NA;1 PEÇA
GENERICO NOME;TUBO DE VÁCUO (EDTA.K3) ROXO;5 ML;100 PEÇAS
GENERICO NOME;TUBO DE VÁCUO (HEPARINA DE LÍTIO) VERDE;5 ML;100 PEÇAS
GENERICO NOME;TUBO DE VÁCUO (HEPARINA DE SÓDIO) VERDE;5 ML;100 PEÇAS
GENERICO NOME;TUBO DE VÁCUO (SIMPLES) VERMELHO;5 ML;100 PEÇAS
GENERICO NOME;TUBO DE VÁCUO (TUBO OXALADO) CINZA;2 ML;100 PEÇAS
